precision, accuracy, recall
4.975373726469118352e-01, 7.069799192217987027e-01, 3.110690114128089601e-01
4.782060668320907704e-01, 7.182069004750121222e-01, 2.971058392465209530e-01
4.657610916224429465e-01, 7.107463875298668521e-01, 2.978740255182112939e-01
4.427334567565033852e-01, 7.053419046535441828e-01, 2.862211084798612082e-01
5.221602171584674990e-01, 7.183330962878680115e-01, 2.686285683344475372e-01
5.007638806810370546e-01, 7.217101894521249505e-01, 2.811520571339206631e-01
4.699713343668295296e-01, 7.170165557262331291e-01, 2.857594117772434550e-01
4.480180446469905209e-01, 7.154154695189599567e-01, 3.079546999138123020e-01
5.293910760106171898e-01, 7.095957440755596979e-01, 2.210675666747800305e-01
3.634234138788484669e-01, 6.522332859174964081e-01, 3.635713584321607628e-01
