precision, accuracy, recall
6.692437017874325322e-01, 8.017565147050326191e-01, 3.210669933120103847e-01
7.584133751088820707e-01, 7.978813559322034399e-01, 2.939322088570096025e-01
6.666153592901233882e-01, 7.975461304364575010e-01, 2.784317528792353280e-01
6.448330224137590605e-01, 8.060595554528294793e-01, 3.224654904559879354e-01
6.693428464016066837e-01, 8.012019184467515931e-01, 3.269231223211938597e-01
5.976980603280928062e-01, 7.917252537704412285e-01, 3.654730206527161962e-01
5.584499334132242421e-01, 8.060831374966290763e-01, 3.834275760528280119e-01
6.570758344161018449e-01, 8.045613899911392419e-01, 3.261879298799635896e-01
6.743241517760366621e-01, 8.045576252576426279e-01, 3.088388575861574781e-01
7.178678151170986288e-01, 8.004122360918477508e-01, 2.897414622577115795e-01
